Species,DBH,CR1,CR2,CH,CB,Crown Area,Crown Depth,Crown Volume,Date
Frni,3.9,0.8,2.2,22,7.1,5.5291984,14.9,82.38505616,6/21/21
Frni,2.3,0.7,0.9,9,3.9,1.9792017,5.1,10.09392867,6/21/21
Bepa,3.9,0.5,0.6,7.9,5.3,0.942477,2.6,2.4504402,6/21/21
Bepa,4.1,1.5,0.9,9,3.9,4.2411465,5.1,21.62984715,6/21/21
Bepa,7.8,0.8,1.7,9.7,3.2,4.2725624,6.5,27.7716556,6/21/21
Bepa,5,1.3,1.6,8.5,2.6,6.5345072,5.9,38.55359248,6/21/21
Bepa,3.1,0.8,1,3.6,1.6,2.513272,2,5.026544,6/22/21
Bepa,3.7,1.2,0.6,7.9,4.9,2.2619448,3,6.7858344,6/22/21
Bepa,2.7,1.5,0.9,5.8,1.6,4.2411465,4.2,17.8128153,6/22/21
Bepa,3.4,1.4,0.8,7.5,3.4,3.5185808,4.1,14.42618128,6/22/21
Bepa,3.3,0.4,1.2,5.5,2,1.5079632,3.5,5.2778712,6/22/21
Bepa,3.1,0.7,1.6,4,2,3.5185808,2,7.0371616,6/22/21
